date,MSFT,AMZN,IBM,GOOG,AAPL
2000-01-01,39.81,64.56,100.52,,25.94
2000-02-01,36.35,68.87,92.11,,28.66
2000-03-01,43.22,67.0,106.11,,33.95
2000-04-01,28.37,55.19,99.95,,31.01
2000-05-01,25.45,48.31,96.31,,21.0
2000-06-01,32.54,36.31,98.33,,26.19
2000-07-01,28.4,30.12,100.74,,25.41
2000-08-01,28.4,41.5,118.62,,30.47
2000-09-01,24.53,38.44,101.19,,12.88
2000-10-01,28.02,36.62,88.5,,9.78
2000-11-01,23.34,24.69,84.12,,8.25
2000-12-01,17.65,15.56,76.47,,7.44
2001-01-01,24.84,17.31,100.76,,10.81
2001-02-01,24.0,10.19,89.98,,9.12
2001-03-01,22.25,10.23,86.63,,11.03
2001-04-01,27.56,15.78,103.7,,12.74
2001-05-01,28.14,16.69,100.82,,9.98
2001-06-01,29.7,14.15,102.35,,11.62
2001-07-01,26.93,12.49,94.87,,9.4
2001-08-01,23.21,8.94,90.25,,9.27
2001-09-01,20.82,5.97,82.82,,7.76
2001-10-01,23.65,6.98,97.58,,8.78
2001-11-01,26.12,11.32,104.5,,10.65
2001-12-01,26.95,10.82,109.36,,10.95
2002-01-01,25.92,14.19,97.54,,12.36
2002-02-01,23.73,14.1,88.82,,10.85
2002-03-01,24.53,14.3,94.15,,11.84
2002-04-01,21.26,16.69,75.82,,12.14
2002-05-01,20.71,18.23,72.97,,11.65
2002-06-01,22.25,16.25,65.31,,8.86
2002-07-01,19.52,14.45,63.86,,7.63
2002-08-01,19.97,14.94,68.52,,7.38
2002-09-01,17.79,15.93,53.01,,7.25
2002-10-01,21.75,19.36,71.76,,8.03
2002-11-01,23.46,23.35,79.16,,7.75
2002-12-01,21.03,18.89,70.58,,7.16
2003-01-01,19.31,21.85,71.22,,7.18
2003-02-01,19.34,22.01,71.13,,7.51
2003-03-01,19.76,26.03,71.57,,7.07
2003-04-01,20.87,28.69,77.47,,7.11
2003-05-01,20.09,35.89,80.48,,8.98
2003-06-01,20.93,36.32,75.42,,9.53
2003-07-01,21.56,41.64,74.28,,10.54
2003-08-01,21.65,46.32,75.12,,11.31
2003-09-01,22.69,48.43,80.91,,10.36
2003-10-01,21.45,54.43,81.96,,11.44
2003-11-01,21.1,53.97,83.08,,10.45
2003-12-01,22.46,52.62,85.05,,10.69
2004-01-01,22.69,50.4,91.06,,11.28
2004-02-01,21.77,43.01,88.7,,11.96
2004-03-01,20.46,43.28,84.41,,13.52
2004-04-01,21.45,43.6,81.04,,12.89
2004-05-01,21.53,48.5,81.59,,14.03
2004-06-01,23.44,54.4,81.19,,16.27
2004-07-01,23.38,38.92,80.19,,16.17
2004-08-01,22.47,38.14,78.17,102.37,17.25
2004-09-01,22.76,40.86,79.13,129.6,19.38
2004-10-01,23.02,34.13,82.84,190.64,26.2
2004-11-01,24.6,39.68,87.15,181.98,33.53
2004-12-01,24.52,44.29,91.16,192.79,32.2
2005-01-01,24.11,43.22,86.39,195.62,38.45
2005-02-01,23.15,35.18,85.78,187.99,44.86
2005-03-01,22.24,34.27,84.66,180.51,41.67
2005-04-01,23.28,32.36,70.77,220.0,36.06
2005-05-01,23.82,35.51,70.18,277.27,39.76
2005-06-01,22.93,33.09,68.93,294.15,36.81
2005-07-01,23.64,45.15,77.53,287.76,42.65
2005-08-01,25.35,42.7,75.07,286.0,46.89
2005-09-01,23.83,45.3,74.7,316.46,53.61
2005-10-01,23.8,39.86,76.25,372.14,57.59
2005-11-01,25.71,48.46,82.98,404.91,67.82
2005-12-01,24.29,47.15,76.73,414.86,71.89
2006-01-01,26.14,44.82,75.89,432.66,75.51
2006-02-01,25.04,37.44,75.09,362.62,68.49
2006-03-01,25.36,36.53,77.17,390.0,62.72
2006-04-01,22.5,35.21,77.05,417.94,70.39
2006-05-01,21.19,34.61,75.04,371.82,59.77
2006-06-01,21.8,38.68,72.15,419.33,57.27
2006-07-01,22.51,26.89,72.7,386.6,67.96
2006-08-01,24.13,30.83,76.35,378.53,67.85
2006-09-01,25.68,32.12,77.26,401.9,76.98
2006-10-01,26.96,38.09,87.06,476.39,81.08
2006-11-01,27.66,40.34,86.95,484.81,91.66
2006-12-01,28.13,39.46,91.9,460.48,84.84
2007-01-01,29.07,37.67,93.79,501.5,85.73
2007-02-01,26.63,39.14,88.18,449.45,84.61
2007-03-01,26.35,39.79,89.44,458.16,92.91
2007-04-01,28.3,61.33,96.98,471.38,99.8
2007-05-01,29.11,69.14,101.54,497.91,121.19
2007-06-01,27.95,68.41,100.25,522.7,122.04
2007-07-01,27.5,78.54,105.4,510.0,131.76
2007-08-01,27.34,79.91,111.54,515.25,138.48
